time,day,number
第91回,1995年10月3日,168
第92回,1995年10月6日,957
第93回,1995年10月10日,910
第94回,1995年10月13日,933
第95回,1995年10月17日,306
第96回,1995年10月20日,944
第97回,1995年10月24日,988
第98回,1995年10月27日,562
第99回,1995年10月31日,571
第100回,1995年11月3日,899
第101回,1995年11月7日,945
第102回,1995年11月10日,560
第103回,1995年11月14日,824
第104回,1995年11月17日,610
第105回,1995年11月21日,619
第106回,1995年11月24日,86
第107回,1995年11月28日,82
第108回,1995年12月1日,254
第109回,1995年12月5日,191
第110回,1995年12月8日,385
第111回,1995年12月12日,56
第112回,1995年12月15日,167
第113回,1995年12月19日,744
第114回,1995年12月22日,205
第115回,1995年12月26日,770
第116回,1995年12月29日,366
第117回,1996年1月5日,952
第118回,1996年1月9日,635
第119回,1996年1月12日,952
第120回,1996年1月16日,650
第121回,1996年1月19日,439
第122回,1996年1月23日,458
第123回,1996年1月26日,513
第124回,1996年1月30日,863
第125回,1996年2月2日,409
第126回,1996年2月6日,318
第127回,1996年2月9日,217
第128回,1996年2月13日,855
第129回,1996年2月16日,620
第130回,1996年2月20日,559
第131回,1996年2月23日,820
第132回,1996年2月27日,16
第133回,1996年3月1日,926
第134回,1996年3月5日,603
第135回,1996年3月8日,454
第136回,1996年3月12日,295
第137回,1996年3月15日,819
第138回,1996年3月19日,995
第139回,1996年3月22日,356
第140回,1996年3月26日,54
第141回,1996年3月29日,783
第142回,1996年4月2日,77
第143回,1996年4月5日,694
第144回,1996年4月9日,594
第145回,1996年4月12日,125
第146回,1996年4月16日,766
第147回,1996年4月19日,464
第148回,1996年4月23日,489
第149回,1996年4月26日,3
第150回,1996年4月30日,538
第151回,1996年5月3日,332
第152回,1996年5月7日,224
第153回,1996年5月10日,750
第154回,1996年5月14日,791
第155回,1996年5月17日,126
第156回,1996年5月21日,991
第157回,1996年5月24日,570
第158回,1996年5月28日,604
第159回,1996年5月31日,259
第160回,1996年6月4日,839
第161回,1996年6月7日,284
第162回,1996年6月11日,516
第163回,1996年6月14日,648
第164回,1996年6月18日,198
第165回,1996年6月21日,563
第166回,1996年6月25日,331
第167回,1996年6月28日,233
第168回,1996年7月2日,107
第169回,1996年7月5日,351
第170回,1996年7月9日,574
第171回,1996年7月12日,679
第172回,1996年7月16日,355
第173回,1996年7月19日,581
第174回,1996年7月23日,967
第175回,1996年7月26日,683
第176回,1996年7月30日,203
第177回,1996年8月2日,845
第178回,1996年8月6日,464
第179回,1996年8月9日,168
第180回,1996年8月13日,632
第181回,1996年8月16日,890
第182回,1996年8月20日,439
第183回,1996年8月23日,589
第184回,1996年8月27日,492
第185回,1996年8月30日,882
第186回,1996年9月3日,439
第187回,1996年9月6日,975
第188回,1996年9月10日,254
第189回,1996年9月13日,199
第190回,1996年9月17日,170
第191回,1996年9月20日,424
第192回,1996年9月24日,21
第193回,1996年9月27日,656
第194回,1996年10月1日,812
第195回,1996年10月4日,819
第196回,1996年10月8日,907
第197回,1996年10月11日,728
第198回,1996年10月15日,374
第199回,1996年10月18日,269
第200回,1996年10月22日,411
第201回,1996年10月25日,176
第202回,1996年10月29日,676
第203回,1996年11月1日,93
第204回,1996年11月5日,211
第205回,1996年11月8日,531
第206回,1996年11月12日,938
第207回,1996年11月15日,413
第208回,1996年11月19日,781
第209回,1996年11月22日,920
第210回,1996年11月26日,192
第211回,1996年11月29日,22
第212回,1996年12月3日,151
第213回,1996年12月6日,502
第214回,1996年12月10日,870
第215回,1996年12月13日,215
第216回,1996年12月17日,337
第217回,1996年12月20日,712
第218回,1996年12月24日,594
第219回,1996年12月27日,260
第220回,1997年1月7日,112
第221回,1997年1月10日,514
第222回,1997年1月14日,227
第223回,1997年1月17日,333
第224回,1997年1月21日,466
第225回,1997年1月24日,751
第226回,1997年1月28日,952
第227回,1997年1月31日,188
第228回,1997年2月4日,14
第229回,1997年2月7日,409
第230回,1997年2月11日,383
第231回,1997年2月14日,523
第232回,1997年2月18日,945
第233回,1997年2月21日,65
第234回,1997年2月25日,317
第235回,1997年2月28日,582
第236回,1997年3月4日,830
第237回,1997年3月7日,648
第238回,1997年3月11日,414
第239回,1997年3月14日,741
第240回,1997年3月18日,229
第241回,1997年3月21日,400
第242回,1997年3月25日,66
第243回,1997年3月28日,608
第244回,1997年4月1日,140
第245回,1997年4月4日,827
第246回,1997年4月8日,593
第247回,1997年4月11日,537
第248回,1997年4月15日,193
第249回,1997年4月18日,624
第250回,1997年4月22日,180
第251回,1997年4月25日,227
第252回,1997年4月29日,4
第253回,1997年5月2日,616
第254回,1997年5月6日,238
第255回,1997年5月9日,770
第256回,1997年5月13日,88
第257回,1997年5月16日,935
第258回,1997年5月20日,447
第259回,1997年5月23日,216
第260回,1997年5月27日,61
第261回,1997年5月30日,596
第262回,1997年6月3日,42
第263回,1997年6月6日,839
第264回,1997年6月10日,362
第265回,1997年6月13日,928
第266回,1997年6月17日,972
第267回,1997年6月20日,93
第268回,1997年6月24日,24
第269回,1997年6月27日,782
第270回,1997年7月1日,793
第271回,1997年7月4日,823
第272回,1997年7月8日,783
第273回,1997年7月11日,526
第274回,1997年7月15日,854
第275回,1997年7月18日,806
第276回,1997年7月22日,385
第277回,1997年7月25日,632
第278回,1997年7月29日,877
第279回,1997年8月1日,891
第280回,1997年8月5日,326
第281回,1997年8月8日,907
第282回,1997年8月12日,743
第283回,1997年8月15日,940
第284回,1997年8月19日,588
第285回,1997年8月22日,760
第286回,1997年8月26日,272
第287回,1997年8月29日,925
第288回,1997年9月2日,144
第289回,1997年9月5日,838
第290回,1997年9月9日,167
第291回,1997年9月12日,85
第292回,1997年9月16日,737
第293回,1997年9月19日,663
第294回,1997年9月23日,107
第295回,1997年9月26日,75
第296回,1997年9月30日,880
第297回,1997年10月3日,144
第298回,1997年10月6日,104
第299回,1997年10月8日,155
第300回,1997年10月10日,126
第301回,1997年10月13日,330
第302回,1997年10月15日,1
第303回,1997年10月17日,497
第304回,1997年10月20日,399
第305回,1997年10月22日,367
第306回,1997年10月24日,748
第307回,1997年10月27日,690
第308回,1997年10月29日,519
第309回,1997年10月31日,777
第310回,1997年11月3日,575
第311回,1997年11月5日,104
第312回,1997年11月7日,68
第313回,1997年11月10日,69
第314回,1997年11月12日,242
第315回,1997年11月14日,137
第316回,1997年11月17日,218
第317回,1997年11月19日,190
第318回,1997年11月21日,537
第319回,1997年11月24日,395
第320回,1997年11月26日,598
第321回,1997年11月28日,429
第322回,1997年12月1日,64
第323回,1997年12月3日,375
第324回,1997年12月5日,805
第325回,1997年12月8日,531
第326回,1997年12月10日,930
第327回,1997年12月12日,980
第328回,1997年12月15日,736
第329回,1997年12月17日,543
第330回,1997年12月19日,179
第331回,1997年12月22日,196
第332回,1997年12月24日,167
第333回,1997年12月26日,238
第334回,1997年12月29日,480
第335回,1998年1月5日,950
第336回,1998年1月7日,551
第337回,1998年1月9日,632
第338回,1998年1月12日,704
第339回,1998年1月14日,152
第340回,1998年1月16日,992
第341回,1998年1月19日,259
第342回,1998年1月21日,686
第343回,1998年1月23日,997
第344回,1998年1月26日,35
第345回,1998年1月28日,513
第346回,1998年1月30日,0
第347回,1998年2月2日,718
第348回,1998年2月4日,394
第349回,1998年2月6日,431
第350回,1998年2月9日,638
第351回,1998年2月11日,417
第352回,1998年2月13日,38
第353回,1998年2月16日,996
第354回,1998年2月18日,750
第355回,1998年2月20日,487
第356回,1998年2月23日,852
第357回,1998年2月25日,756
第358回,1998年2月27日,469
第359回,1998年3月2日,277
第360回,1998年3月4日,965
第361回,1998年3月6日,965
第362回,1998年3月9日,640
第363回,1998年3月11日,458
第364回,1998年3月13日,908
第365回,1998年3月16日,887
第366回,1998年3月18日,841
第367回,1998年3月20日,778
第368回,1998年3月23日,805
第369回,1998年3月25日,135
第370回,1998年3月27日,91
第371回,1998年3月30日,798
第372回,1998年4月1日,202
第373回,1998年4月3日,417
第374回,1998年4月6日,409
第375回,1998年4月8日,994
第376回,1998年4月10日,274
第377回,1998年4月13日,155
第378回,1998年4月15日,75
第379回,1998年4月17日,649
第380回,1998年4月20日,820
第381回,1998年4月22日,885
第382回,1998年4月24日,606
第383回,1998年4月27日,81
第384回,1998年4月29日,690
第385回,1998年5月1日,332
第386回,1998年5月4日,578
第387回,1998年5月6日,396
第388回,1998年5月8日,227
第389回,1998年5月11日,275
第390回,1998年5月13日,956
第391回,1998年5月15日,66
第392回,1998年5月18日,426
第393回,1998年5月20日,29
第394回,1998年5月22日,729
第395回,1998年5月25日,440
第396回,1998年5月27日,963
第397回,1998年5月29日,345
第398回,1998年6月1日,274
第399回,1998年6月3日,816
第400回,1998年6月5日,596
第401回,1998年6月8日,354
第402回,1998年6月10日,58
第403回,1998年6月12日,431
第404回,1998年6月15日,109
第405回,1998年6月17日,891
第406回,1998年6月19日,222
第407回,1998年6月22日,42
第408回,1998年6月24日,237
第409回,1998年6月26日,400
第410回,1998年6月29日,866
第411回,1998年7月1日,636
第412回,1998年7月3日,514
第413回,1998年7月6日,910
第414回,1998年7月8日,737
第415回,1998年7月10日,834
第416回,1998年7月13日,1
第417回,1998年7月15日,371
第418回,1998年7月17日,429
第419回,1998年7月20日,723
第420回,1998年7月22日,427
第421回,1998年7月24日,402
第422回,1998年7月27日,495
第423回,1998年7月29日,367
第424回,1998年7月31日,43
第425回,1998年8月3日,535
第426回,1998年8月5日,618
第427回,1998年8月7日,159
第428回,1998年8月10日,512
第429回,1998年8月12日,641
第430回,1998年8月14日,652
第431回,1998年8月17日,219
第432回,1998年8月19日,163
第433回,1998年8月21日,255
第434回,1998年8月24日,698
第435回,1998年8月26日,161
第436回,1998年8月28日,244
第437回,1998年8月31日,727
第438回,1998年9月2日,235
第439回,1998年9月4日,605
第440回,1998年9月7日,520
第441回,1998年9月9日,196
第442回,1998年9月11日,174
第443回,1998年9月14日,198
第444回,1998年9月16日,107
第445回,1998年9月18日,87
第446回,1998年9月21日,531
第447回,1998年9月23日,453
第448回,1998年9月25日,785
第449回,1998年9月28日,48
第450回,1998年9月30日,33
第451回,1998年10月2日,423
第452回,1998年10月5日,666
第453回,1998年10月7日,102
第454回,1998年10月9日,713
第455回,1998年10月12日,612
第456回,1998年10月14日,887
第457回,1998年10月16日,189
第458回,1998年10月19日,383
第459回,1998年10月21日,620
第460回,1998年10月23日,150
第461回,1998年10月26日,190
第462回,1998年10月28日,292
第463回,1998年10月30日,994
第464回,1998年11月2日,86
第465回,1998年11月4日,95
第466回,1998年11月6日,256
第467回,1998年11月9日,882
第468回,1998年11月11日,687
第469回,1998年11月13日,949
第470回,1998年11月16日,577
第471回,1998年11月18日,301
第472回,1998年11月20日,616
第473回,1998年11月23日,407
第474回,1998年11月25日,41
第475回,1998年11月27日,583
第476回,1998年11月30日,111
第477回,1998年12月2日,498
第478回,1998年12月4日,277
第479回,1998年12月7日,962
第480回,1998年12月9日,335
第481回,1998年12月11日,550
第482回,1998年12月14日,818
第483回,1998年12月16日,75
第484回,1998年12月18日,899
第485回,1998年12月21日,485
第486回,1998年12月23日,932
第487回,1998年12月25日,856
第488回,1998年12月28日,115
第489回,1998年12月30日,618
第490回,1999年1月4日,634
第491回,1999年1月6日,995
第492回,1999年1月8日,931
第493回,1999年1月11日,385
第494回,1999年1月13日,153
第495回,1999年1月15日,827
第496回,1999年1月18日,28
第497回,1999年1月20日,595
第498回,1999年1月22日,211
第499回,1999年1月25日,12
第500回,1999年1月27日,679
第501回,1999年1月29日,640
第502回,1999年2月1日,929
第503回,1999年2月3日,782
第504回,1999年2月5日,947
第505回,1999年2月8日,480
第506回,1999年2月10日,993
第507回,1999年2月12日,172
第508回,1999年2月15日,295
第509回,1999年2月17日,831
第510回,1999年2月19日,253
第511回,1999年2月22日,914
第512回,1999年2月24日,947
第513回,1999年2月26日,900
第514回,1999年3月1日,122
第515回,1999年3月3日,286
第516回,1999年3月5日,583
第517回,1999年3月8日,287
第518回,1999年3月10日,402
第519回,1999年3月12日,658
第520回,1999年3月15日,493
第521回,1999年3月17日,535
第522回,1999年3月19日,73
第523回,1999年3月22日,532
第524回,1999年3月24日,36
第525回,1999年3月26日,919
第526回,1999年3月29日,357
第527回,1999年3月31日,593
第528回,1999年4月2日,743
第529回,1999年4月5日,413
第530回,1999年4月7日,719
第531回,1999年4月9日,835
第532回,1999年4月12日,277
第533回,1999年4月14日,200
第534回,1999年4月16日,432
第535回,1999年4月19日,205
第536回,1999年4月21日,951
第537回,1999年4月23日,998
第538回,1999年4月26日,628
第539回,1999年4月28日,435
第540回,1999年4月30日,154
第541回,1999年5月3日,33
第542回,1999年5月5日,614
第543回,1999年5月7日,362
第544回,1999年5月10日,269
第545回,1999年5月12日,838
第546回,1999年5月14日,98
第547回,1999年5月17日,806
第548回,1999年5月19日,411
第549回,1999年5月21日,450
第550回,1999年5月24日,666
第551回,1999年5月26日,300
第552回,1999年5月28日,993
第553回,1999年5月31日,19
第554回,1999年6月2日,355
第555回,1999年6月4日,602
第556回,1999年6月7日,331
第557回,1999年6月9日,443
第558回,1999年6月11日,666
第559回,1999年6月14日,297
第560回,1999年6月16日,57
第561回,1999年6月18日,190
第562回,1999年6月21日,382
第563回,1999年6月23日,80
第564回,1999年6月25日,732
第565回,1999年6月28日,982
第566回,1999年6月30日,906
第567回,1999年7月2日,433
第568回,1999年7月5日,953
第569回,1999年7月7日,49
第570回,1999年7月9日,587
第571回,1999年7月12日,798
第572回,1999年7月14日,731
第573回,1999年7月16日,597
第574回,1999年7月19日,910
第575回,1999年7月21日,939
第576回,1999年7月23日,487
第577回,1999年7月26日,228
第578回,1999年7月28日,398
第579回,1999年7月30日,588
第580回,1999年8月2日,385
第581回,1999年8月4日,160
第582回,1999年8月6日,315
第583回,1999年8月9日,850
第584回,1999年8月11日,85
第585回,1999年8月13日,365
第586回,1999年8月16日,207
第587回,1999年8月18日,569
第588回,1999年8月20日,652
第589回,1999年8月23日,485
第590回,1999年8月25日,947
第591回,1999年8月27日,46
第592回,1999年8月30日,36
第593回,1999年9月1日,829
第594回,1999年9月3日,130
第595回,1999年9月6日,162
第596回,1999年9月8日,193
第597回,1999年9月10日,429
第598回,1999年9月13日,306
第599回,1999年9月15日,554
第600回,1999年9月17日,752
第601回,1999年9月20日,421
第602回,1999年9月22日,979
第603回,1999年9月24日,699
第604回,1999年9月27日,939
第605回,1999年9月29日,30
第606回,1999年10月1日,638
第607回,1999年10月4日,405
第608回,1999年10月6日,964
第609回,1999年10月8日,178
第610回,1999年10月11日,337
第611回,1999年10月13日,801
第612回,1999年10月15日,730
第613回,1999年10月18日,591
第614回,1999年10月20日,369
第615回,1999年10月22日,142
第616回,1999年10月25日,475
第617回,1999年10月27日,92
第618回,1999年10月29日,279
第619回,1999年11月1日,567
第620回,1999年11月3日,866
第621回,1999年11月5日,44
第622回,1999年11月8日,639
第623回,1999年11月10日,308
第624回,1999年11月12日,675
第625回,1999年11月15日,546
第626回,1999年11月17日,588
第627回,1999年11月19日,472
第628回,1999年11月22日,201
第629回,1999年11月24日,118
第630回,1999年11月26日,223
第631回,1999年11月29日,194
第632回,1999年12月1日,182
第633回,1999年12月3日,446
第634回,1999年12月6日,382
第635回,1999年12月8日,669
第636回,1999年12月10日,403
第637回,1999年12月13日,633
第638回,1999年12月15日,951
第639回,1999年12月17日,783
第640回,1999年12月20日,908
第641回,1999年12月22日,636
第642回,1999年12月24日,433
第643回,1999年12月27日,364
第644回,1999年12月29日,949
第645回,2000年1月5日,584
第646回,2000年1月7日,732
第647回,2000年1月10日,175
第648回,2000年1月12日,44
第649回,2000年1月14日,282
第650回,2000年1月17日,969
第651回,2000年1月19日,345
第652回,2000年1月21日,258
第653回,2000年1月24日,37
第654回,2000年1月26日,507
第655回,2000年1月28日,798
第656回,2000年1月31日,28
第657回,2000年2月2日,959
第658回,2000年2月4日,553
第659回,2000年2月7日,649
第660回,2000年2月9日,875
第661回,2000年2月11日,81
第662回,2000年2月14日,646
第663回,2000年2月16日,70
第664回,2000年2月18日,195
第665回,2000年2月21日,297
第666回,2000年2月23日,277
第667回,2000年2月25日,943
第668回,2000年2月28日,157
第669回,2000年3月1日,367
第670回,2000年3月3日,811
第671回,2000年3月6日,682
第672回,2000年3月8日,916
第673回,2000年3月10日,385
第674回,2000年3月13日,478
第675回,2000年3月15日,944
第676回,2000年3月17日,830
第677回,2000年3月20日,68
第678回,2000年3月22日,628
第679回,2000年3月24日,261
第680回,2000年3月27日,277
第681回,2000年3月29日,503
第682回,2000年3月31日,973
第683回,2000年4月3日,632
第684回,2000年4月5日,715
第685回,2000年4月7日,947
第686回,2000年4月10日,790
第687回,2000年4月12日,751
第688回,2000年4月14日,232
第689回,2000年4月17日,42
第690回,2000年4月19日,274
第691回,2000年4月21日,132
第692回,2000年4月24日,548
第693回,2000年4月26日,94
第694回,2000年4月28日,900
第695回,2000年5月1日,797
第696回,2000年5月3日,3
第697回,2000年5月5日,971
第698回,2000年5月8日,907
第699回,2000年5月10日,278
第700回,2000年5月12日,232
第701回,2000年5月15日,883
第702回,2000年5月17日,993
第703回,2000年5月19日,424
第704回,2000年5月22日,869
第705回,2000年5月24日,94
第706回,2000年5月26日,948
第707回,2000年5月29日,851
第708回,2000年5月31日,337
第709回,2000年6月2日,762
第710回,2000年6月5日,114
第711回,2000年6月7日,755
第712回,2000年6月9日,428
第713回,2000年6月12日,620
第714回,2000年6月14日,943
第715回,2000年6月16日,40
第716回,2000年6月19日,469
第717回,2000年6月21日,743
第718回,2000年6月23日,241
第719回,2000年6月26日,234
第720回,2000年6月28日,217
第721回,2000年6月30日,889
第722回,2000年7月3日,214
第723回,2000年7月5日,739
第724回,2000年7月7日,376
第725回,2000年7月10日,397
第726回,2000年7月12日,629
第727回,2000年7月14日,125
第728回,2000年7月17日,743
第729回,2000年7月19日,189
第730回,2000年7月21日,974
第731回,2000年7月24日,808
第732回,2000年7月26日,715
第733回,2000年7月28日,179
第734回,2000年7月31日,496
第735回,2000年8月2日,610
第736回,2000年8月4日,603
第737回,2000年8月7日,821
第738回,2000年8月9日,65
第739回,2000年8月11日,918
第740回,2000年8月14日,602
第741回,2000年8月16日,54
第742回,2000年8月18日,286
第743回,2000年8月21日,854
第744回,2000年8月23日,946
第745回,2000年8月25日,31
第746回,2000年8月28日,134
第747回,2000年8月30日,831
第748回,2000年9月1日,617
第749回,2000年9月4日,920
第750回,2000年9月6日,912
第751回,2000年9月8日,266
第752回,2000年9月11日,370
第753回,2000年9月13日,208
第754回,2000年9月15日,307
第755回,2000年9月18日,982
第756回,2000年9月20日,386
第757回,2000年9月22日,375
第758回,2000年9月25日,88
第759回,2000年9月27日,548
第760回,2000年9月29日,699
第761回,2000年10月2日,805
第762回,2000年10月4日,804
第763回,2000年10月6日,610
第764回,2000年10月9日,94
第765回,2000年10月11日,117
第766回,2000年10月13日,835
第767回,2000年10月16日,618
第768回,2000年10月18日,192
第769回,2000年10月20日,220
第770回,2000年10月23日,325
第771回,2000年10月25日,522
第772回,2000年10月27日,574
第773回,2000年10月30日,811
第774回,2000年11月1日,80
第775回,2000年11月3日,923
第776回,2000年11月6日,302
第777回,2000年11月8日,237
第778回,2000年11月10日,226
第779回,2000年11月13日,167
第780回,2000年11月15日,33
第781回,2000年11月17日,472
第782回,2000年11月20日,14
第783回,2000年11月22日,924
第784回,2000年11月24日,703
第785回,2000年11月27日,908
第786回,2000年11月29日,160
第787回,2000年12月1日,221
第788回,2000年12月4日,433
第789回,2000年12月6日,787
第790回,2000年12月8日,807
第791回,2000年12月11日,552
第792回,2000年12月13日,220
第793回,2000年12月15日,685
第794回,2000年12月18日,199
第795回,2000年12月20日,461
第796回,2000年12月22日,360
第797回,2000年12月25日,418
第798回,2000年12月27日,477
第799回,2000年12月29日,953
第800回,2001年1月5日,817
第801回,2001年1月8日,793
第802回,2001年1月10日,468
第803回,2001年1月12日,405
第804回,2001年1月15日,331
第805回,2001年1月17日,224
第806回,2001年1月19日,221
第807回,2001年1月22日,122
第808回,2001年1月24日,296
第809回,2001年1月26日,127
第810回,2001年1月29日,929
第811回,2001年1月31日,559
第812回,2001年2月2日,614
第813回,2001年2月5日,96
第814回,2001年2月7日,873
第815回,2001年2月9日,839
第816回,2001年2月12日,650
第817回,2001年2月14日,922
第818回,2001年2月16日,427
第819回,2001年2月19日,369
第820回,2001年2月21日,33
第821回,2001年2月23日,292
第822回,2001年2月26日,459
第823回,2001年2月28日,535
第824回,2001年3月2日,102
第825回,2001年3月5日,339
第826回,2001年3月7日,823
第827回,2001年3月9日,802
第828回,2001年3月12日,939
第829回,2001年3月14日,442
第830回,2001年3月16日,247
第831回,2001年3月19日,764
第832回,2001年3月21日,626
第833回,2001年3月23日,826
第834回,2001年3月26日,594
第835回,2001年3月28日,309
第836回,2001年3月30日,926
第837回,2001年4月2日,539
第838回,2001年4月4日,524
第839回,2001年4月6日,679
第840回,2001年4月9日,59
第841回,2001年4月11日,306
第842回,2001年4月13日,219
第843回,2001年4月16日,768
第844回,2001年4月18日,170
第845回,2001年4月20日,274
第846回,2001年4月23日,531
第847回,2001年4月25日,473
第848回,2001年4月27日,98
第849回,2001年4月30日,539
第850回,2001年5月2日,646
第851回,2001年5月4日,717
第852回,2001年5月7日,57
第853回,2001年5月9日,363
第854回,2001年5月11日,112
第855回,2001年5月14日,939
第856回,2001年5月16日,99
第857回,2001年5月18日,921
第858回,2001年5月21日,510
第859回,2001年5月23日,400
第860回,2001年5月25日,963
第861回,2001年5月28日,931
第862回,2001年5月30日,883
第863回,2001年6月1日,585
第864回,2001年6月4日,426
第865回,2001年6月6日,329
第866回,2001年6月8日,571
第867回,2001年6月11日,432
第868回,2001年6月13日,634
第869回,2001年6月15日,245
第870回,2001年6月18日,772
第871回,2001年6月20日,639
第872回,2001年6月22日,755
第873回,2001年6月25日,367
第874回,2001年6月27日,454
第875回,2001年6月29日,778
第876回,2001年7月2日,845
第877回,2001年7月4日,589
第878回,2001年7月6日,318
第879回,2001年7月9日,908
第880回,2001年7月11日,678
第881回,2001年7月13日,494
第882回,2001年7月16日,703
第883回,2001年7月18日,745
第884回,2001年7月20日,388
第885回,2001年7月23日,307
第886回,2001年7月25日,302
第887回,2001年7月27日,672
第888回,2001年7月30日,691
第889回,2001年8月1日,139
第890回,2001年8月3日,332
第891回,2001年8月6日,254
第892回,2001年8月8日,353
第893回,2001年8月10日,184
第894回,2001年8月13日,592
第895回,2001年8月15日,614
第896回,2001年8月17日,108
第897回,2001年8月20日,55
第898回,2001年8月22日,980
第899回,2001年8月24日,350
第900回,2001年8月27日,88
第901回,2001年8月29日,694
第902回,2001年8月31日,377
第903回,2001年9月3日,648
第904回,2001年9月5日,5
第905回,2001年9月7日,812
第906回,2001年9月10日,202
第907回,2001年9月12日,865
第908回,2001年9月14日,42
第909回,2001年9月17日,116
第910回,2001年9月19日,947
第911回,2001年9月21日,972
第912回,2001年9月24日,891
第913回,2001年9月26日,524
第914回,2001年9月28日,737
第915回,2001年10月1日,356
第916回,2001年10月3日,276
第917回,2001年10月5日,502
第918回,2001年10月8日,997
第919回,2001年10月10日,223
第920回,2001年10月12日,498
第921回,2001年10月15日,315
第922回,2001年10月17日,893
第923回,2001年10月19日,232
第924回,2001年10月22日,511
第925回,2001年10月24日,971
第926回,2001年10月26日,373
第927回,2001年10月29日,468
第928回,2001年10月31日,848
第929回,2001年11月2日,32
第930回,2001年11月5日,905
第931回,2001年11月7日,330
第932回,2001年11月9日,471
第933回,2001年11月12日,337
第934回,2001年11月14日,361
第935回,2001年11月16日,304
第936回,2001年11月19日,666
第937回,2001年11月21日,865
第938回,2001年11月23日,603
第939回,2001年11月26日,308
第940回,2001年11月28日,188
第941回,2001年11月30日,59
第942回,2001年12月3日,614
第943回,2001年12月5日,881
第944回,2001年12月7日,937
第945回,2001年12月10日,19
第946回,2001年12月12日,361
第947回,2001年12月14日,220
第948回,2001年12月17日,478
第949回,2001年12月19日,788
第950回,2001年12月21日,707
第951回,2001年12月24日,147
第952回,2001年12月26日,549
第953回,2001年12月28日,875
第954回,2002年1月4日,103
第955回,2002年1月7日,845
第956回,2002年1月9日,981
第957回,2002年1月11日,533
第958回,2002年1月14日,454
第959回,2002年1月16日,911
第960回,2002年1月18日,60
第961回,2002年1月21日,345
第962回,2002年1月23日,559
第963回,2002年1月25日,805
第964回,2002年1月28日,230
第965回,2002年1月30日,131
第966回,2002年2月1日,832
第967回,2002年2月4日,715
第968回,2002年2月6日,181
第969回,2002年2月8日,950
第970回,2002年2月11日,749
第971回,2002年2月13日,147
第972回,2002年2月15日,337
第973回,2002年2月18日,557
第974回,2002年2月20日,795
第975回,2002年2月22日,432
第976回,2002年2月25日,0
第977回,2002年2月27日,192
第978回,2002年3月1日,158
第979回,2002年3月4日,11
第980回,2002年3月6日,420
第981回,2002年3月8日,250
第982回,2002年3月11日,71
第983回,2002年3月13日,727
第984回,2002年3月15日,824
第985回,2002年3月18日,622
第986回,2002年3月20日,505
第987回,2002年3月22日,683
第988回,2002年3月25日,241
第989回,2002年3月27日,979
第990回,2002年3月29日,543
第991回,2002年4月1日,505
第992回,2002年4月3日,124
第993回,2002年4月5日,393
第994回,2002年4月8日,658
第995回,2002年4月10日,312
第996回,2002年4月12日,931
第997回,2002年4月15日,168
第998回,2002年4月17日,851
第999回,2002年4月19日,189
